video_id,track,clip,frame,yaw,pitch,roll,face_found
VID_ (1),11,0,5,,,,0
VID_ (1),11,0,6,,,,0
VID_ (1),11,0,7,,,,0
VID_ (1),11,1,0,,,,0
VID_ (1),11,1,1,,,,0
VID_ (1),11,1,2,,,,0
VID_ (1),11,1,3,,,,0
VID_ (1),11,1,4,,,,0
VID_ (1),11,1,5,,,,0
VID_ (1),11,1,6,,,,0
VID_ (1),11,1,7,58.22,-58.16,-46.77,1
VID_ (1),11,2,0,,,,0
VID_ (1),11,2,1,,,,0
VID_ (1),11,2,2,,,,0
VID_ (1),11,2,3,58.22,-58.16,-46.77,1
VID_ (1),11,2,4,,,,0
VID_ (1),11,2,5,,,,0
VID_ (1),11,2,6,54.51,-49.42,-40.7,1
VID_ (1),11,2,7,,,,0
VID_ (1),11,3,0,,,,0
VID_ (1),11,3,1,,,,0
VID_ (1),11,3,2,54.51,-49.42,-40.7,1
VID_ (1),11,3,3,,,,0
VID_ (1),11,3,4,,,,0
VID_ (1),11,3,5,,,,0
VID_ (1),11,3,6,,,,0
VID_ (1),11,3,7,,,,0
VID_ (1),11,4,0,,,,0
VID_ (1),11,4,1,,,,0
VID_ (1),11,4,2,,,,0
VID_ (1),11,4,3,,,,0
VID_ (1),11,4,4,,,,0
VID_ (1),11,4,5,,,,0
VID_ (1),11,4,6,,,,0
VID_ (1),11,4,7,,,,0
VID_ (1),11,5,0,,,,0
VID_ (1),11,5,1,,,,0
VID_ (1),11,5,2,,,,0
VID_ (1),11,5,3,,,,0
VID_ (1),11,5,4,,,,0
VID_ (1),11,5,5,,,,0
VID_ (1),11,5,6,,,,0
VID_ (1),11,5,7,,,,0
VID_ (1),12,0,0,,,,0
VID_ (1),12,0,1,,,,0
VID_ (1),12,0,2,,,,0
VID_ (1),12,0,3,,,,0
VID_ (1),12,0,4,,,,0
VID_ (1),12,0,5,40.16,-25.81,-28.06,1
VID_ (1),12,0,6,54.16,-50.06,-42.2,1
VID_ (1),12,0,7,,,,0
VID_ (1),13,0,0,-58.49,-7.17,13.23,1
VID_ (1),13,0,1,-53.0,-7.46,14.51,1
VID_ (1),13,0,2,80.84,-20.26,-20.2,1
VID_ (1),13,0,3,,,,0
VID_ (1),13,0,4,,,,0
VID_ (1),13,0,5,,,,0
VID_ (1),13,0,6,,,,0
VID_ (1),13,0,7,,,,0
VID_ (1),13,1,0,,,,0
VID_ (1),13,1,1,,,,0
VID_ (1),13,1,2,,,,0
VID_ (1),13,1,3,,,,0
VID_ (1),13,1,4,,,,0
VID_ (1),13,1,5,,,,0
VID_ (1),13,1,6,,,,0
VID_ (1),13,1,7,,,,0
VID_ (1),14,0,0,,,,0
VID_ (1),14,0,1,,,,0
VID_ (1),14,0,2,,,,0
VID_ (1),14,0,3,,,,0
VID_ (1),14,0,4,,,,0
VID_ (1),14,0,5,,,,0
VID_ (1),14,0,6,,,,0
VID_ (1),14,0,7,,,,0
VID_ (1),14,1,0,,,,0
VID_ (1),14,1,1,,,,0
VID_ (1),14,1,2,,,,0
VID_ (1),14,1,3,,,,0
VID_ (1),14,1,4,,,,0
VID_ (1),14,1,5,,,,0
VID_ (1),14,1,6,,,,0
VID_ (1),14,1,7,,,,0
VID_ (1),14,2,0,,,,0
VID_ (1),14,2,1,,,,0
VID_ (1),14,2,2,,,,0
VID_ (1),14,2,3,,,,0
VID_ (1),14,2,4,,,,0
VID_ (1),14,2,5,,,,0
VID_ (1),14,2,6,,,,0
VID_ (1),14,2,7,,,,0
VID_ (1),14,3,0,,,,0
VID_ (1),14,3,1,,,,0
VID_ (1),14,3,2,,,,0
VID_ (1),14,3,3,,,,0
VID_ (1),14,3,4,,,,0
VID_ (1),14,3,5,,,,0
VID_ (1),14,3,6,,,,0
VID_ (1),14,3,7,,,,0
VID_ (1),14,4,0,,,,0
VID_ (1),14,4,1,,,,0
VID_ (1),14,4,2,,,,0
VID_ (1),14,4,3,,,,0
VID_ (1),14,4,4,,,,0
VID_ (1),14,4,5,,,,0
VID_ (1),14,4,6,,,,0
VID_ (1),14,4,7,,,,0
VID_ (1),14,5,0,,,,0
VID_ (1),14,5,1,,,,0
VID_ (1),14,5,2,,,,0
VID_ (1),14,5,3,,,,0
VID_ (1),14,5,4,,,,0
VID_ (1),14,5,5,,,,0
VID_ (1),14,5,6,,,,0
VID_ (1),14,5,7,,,,0
VID_ (1),14,6,0,,,,0
VID_ (1),14,6,1,,,,0
VID_ (1),14,6,2,,,,0
VID_ (1),14,6,3,,,,0
VID_ (1),14,6,4,,,,0
VID_ (1),14,6,5,,,,0
VID_ (1),14,6,6,,,,0
VID_ (1),14,6,7,,,,0
VID_ (1),14,7,0,,,,0
VID_ (1),14,7,1,,,,0
VID_ (1),14,7,2,,,,0
VID_ (1),14,7,3,,,,0
VID_ (1),14,7,4,,,,0
VID_ (1),14,7,5,,,,0
VID_ (1),14,7,6,,,,0
VID_ (1),14,7,7,,,,0
VID_ (1),14,8,0,,,,0
VID_ (1),14,8,1,,,,0
VID_ (1),14,8,2,,,,0
VID_ (1),14,8,3,,,,0
VID_ (1),14,8,4,,,,0
VID_ (1),14,8,5,,,,0
VID_ (1),14,8,6,,,,0
VID_ (1),14,8,7,,,,0
VID_ (1),15,0,0,,,,0
VID_ (1),15,0,1,,,,0
VID_ (1),15,0,2,,,,0
VID_ (1),15,0,3,,,,0
